City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Aklavik,CA,68.2191,-135.0107,-17.68,75,75,5.75,broken clouds
79,Jalu,LY,29.0331,21.5482,54.18,45,0,4.52,clear sky
80,Guerrero Negro,MX,27.9769,-114.0611,76.59,26,100,5.48,overcast clouds
81,Barrow,US,71.2906,-156.7887,-25.58,62,75,8.05,broken clouds
82,Lata,PT,40.1629,-8.3327,50.72,98,48,1.61,scattered clouds
83,Alofi,NU,-19.0595,-169.9187,85.89,70,39,14.97,scattered clouds
84,Taltal,CL,-25.4,-70.4833,69.39,76,22,7.14,few clouds
85,Busselton,AU,-33.65,115.3333,56.08,71,0,11.86,clear sky
86,Sola,VU,-13.8833,167.55,77.59,86,99,15.14,overcast clouds
87,Port Elizabeth,ZA,-33.918,25.5701,70.09,94,100,19.57,drizzle
88,Severo-Kurilsk,RU,50.6789,156.125,23.09,75,47,4.45,scattered clouds
89,Egvekinot,RU,66.3167,-179.1667,-17.25,88,16,6.78,few clouds
90,Bengkulu,ID,-3.8004,102.2655,75.22,83,96,3.96,light rain
91,Chokurdakh,RU,70.6333,147.9167,-2.06,95,100,12.82,overcast clouds
92,Baykit,RU,61.67,96.37,-16.06,100,37,2.62,scattered clouds
93,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,94,75,0.0,light intensity drizzle
94,Mount Gambier,AU,-37.8333,140.7667,71.51,53,87,10.36,overcast clouds
95,Hasaki,JP,35.7333,140.8333,28.8,60,45,5.19,scattered clouds
96,Dikson,RU,73.5069,80.5464,-4.63,89,100,26.71,overcast clouds
97,Taos,US,36.4072,-105.5731,41.02,36,0,5.75,clear sky
98,Sokolo,ML,14.7328,-6.1219,70.52,14,0,11.23,clear sky
99,Dongning,CN,44.0622,131.1207,-5.89,93,7,4.21,clear sky
100,Nouna,BF,12.7333,-3.8667,74.86,12,7,9.04,clear sky
101,Korla,CN,41.7597,86.1469,26.92,51,84,2.89,broken clouds
102,Souillac,MU,-20.5167,57.5167,80.98,83,75,5.75,light intensity shower rain
103,Comodoro Rivadavia,AR,-45.8667,-67.5,85.86,23,0,10.36,clear sky
